Origin,Original_Sentence,Generated_Sentence,BLEU_Score,Label,Tag,logic_words
Synthetic,"If the bald eagle is kind, then Dave is not short.","If Dave is short, the bald eagle is not kind.",29.167552921712716,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is kind, then Dave is not short.",Dave would not be short if the bald eagle wasn't kind.,13.508625657351418,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not kind, then Fiona is sad.","If Fiona isn't sad, the bald eagle is kind.",24.316915840399727,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not kind, then Fiona is sad.","If the bald eagle was kind, Fiona would be sad.",27.14346647706349,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is quiet, then the dinosaur is heavy.","If the dinosaurs weren't heavy, the bald eagles wouldn't be quiet.",7.692375026049747,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is quiet, then the dinosaur is heavy.","If the bald eagle wasn't quiet, the dinosaur would be heavy.",24.601372576927535,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not quiet, then the bald eagle is not high.","If the bald eagle was high, he would be quiet.",18.065141676274923,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not quiet, then the bald eagle is not high.",The bald eagle was not high if quiet.,6.856346714060815,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is round, then the cat is thin.","If the cat isn't thin, the bald eagle won't be round.",13.679192123121886,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is round, then the cat is thin.",The cat is thin unless the bald eagle is round.,40.292759186936564,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not round, then Gary is not powerful.","If Gary was powerful, he'd be round like a bald eagle.",7.432998184513635,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not round, then Gary is not powerful.",Gary is not powerful if the bald eagle is round.,37.773311868264216,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is nice, then Alan is boring.","If Alan wasn't boring, the bald eagle wouldn't be nice.",11.980914528565991,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is nice, then Alan is boring.","If Alan wasn't boring, the bald eagle wouldn't be nice.",11.980914528565991,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not nice, then the bald eagle is not lovely.","If the bald eagle was lovely, it would be nice.",18.065141676274923,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not nice, then the bald eagle is not lovely.",The bald eagle is not lovely if it is nice.,25.04594537737902,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is smart, then Erin is sleepy.","If Erin isn't sleepy, the bald eagle won't be smart.",11.980914528565991,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is smart, then Erin is sleepy.",Erin would be sleepy without a smart bald eagle.,9.042713792226897,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not smart, then the snake is not cute.","If the snake is cute, the bald eagle is smart.",28.598002984753922,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not smart, then the snake is not cute.",The snake is not cute if the bald eagle is smart.,34.91665073071338,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is clever, then the leopard is tiny.","If the leopard wasn't tiny, the bald eagle wouldn't be clever.",13.679192123121886,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is clever, then the leopard is tiny.",The leopard is tiny unless the bald eagle is clever.,40.292759186936564,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not clever, then the leopard is rough.","If the leopard wasn't rough, the bald eagle would have been clever.",14.62806365365753,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not clever, then the leopard is rough.",The leopard is rough if the bald eagle is clever.,27.507948153265307,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is dull, then the tiger is heavy.",Blistering eagles are dull not when tigers are heavy.,6.8803707079889325,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is dull, then the tiger is heavy.",The tiger is heavy unless the bald eagle is dull.,40.292759186936564,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not dull, then the squirrel is not quiet.",Blistering bald eagles dull when squirrels are quiet.,5.821935635427797,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not dull, then the squirrel is not quiet.","If the bald eagle was dull, the squirrel would not be quiet.",25.349016762360495,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is rough, then the bald eagle is not short.","If the bald eagles are short, they're not rough.",12.598784288986808,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is rough, then the bald eagle is not short.",The Bald Eagle is not short if it isn't rough.,11.202079346313559,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not rough, then the mouse is not strong.",The bald eagle would be rough if the mouse was strong.,9.495210482798411,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not rough, then the mouse is not strong.",The bald eagle would be rough if the mouse was strong.,9.495210482798411,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is lazy, then the dog is dull.","If the dog is dull, the bald eagle isn't lazy.",30.130404892785695,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is lazy, then the dog is dull.","If the dog is dull, the bald eagle isn't lazy.",30.130404892785695,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not lazy, then the bear is tiny.","If the bald eagle was lazy, the bear would be tiny.",26.776802959776298,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is slow, then Fiona is fierce.","If Fiona wasn't fierce, the bald eagle wouldn't be slow.",11.980914528565991,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is slow, then Fiona is fierce.",Fiona would be fierce if the bald eagle wasn't slow.,14.211672443220438,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not slow, then Erin is kind.","If Erin wasn't kind, the bald eagle would have been slow.",12.874330508144842,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not slow, then Erin is kind.","If the bald eagle was slow, Erin would be kind.",27.14346647706349,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is sleepy, then the lion is not clever.","If the Lion was clever, the bald eagle wouldn't be sleepy.",14.247788801610149,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is sleepy, then the lion is not clever.",The lion is not clever unless the bald eagle is sleepy.,46.15415465297943,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not sleepy, then Harry is kind.","If Harry wasn't kind, the bald eagle would be sleepy.",13.912311644176565,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not sleepy, then Harry is kind.",Harry is kind to a sleepy bald eagle.,15.564390138142427,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is boring, then the dog is not tired.","When the dog is tired, the bald eagle isn't boring.",20.200106912694157,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is boring, then the dog is not tired.",The dog is not tired if the bald eagle isn't boring.,27.379285619165262,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not boring, then the bear is dull.",The bald eagle is boring if the bear is not dull.,22.565828790862536,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not boring, then the bear is dull.",The bald eagle is boring if the bear is not dull.,22.565828790862536,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is tired, then Gary is strong.","If Gary is weak, the Bald Eagle won't get tired.",7.768562846380172,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is tired, then Gary is strong.","If Gary is weak, the Bald Eagle won't get tired.",7.768562846380172,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not tired, then Dave is sleepy.","If Dave isn't sleepy, the bald eagle is tired.",24.316915840399727,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not tired, then Dave is sleepy.","If the bald eagle gets tired, Dave is sleepy.",42.99352740507477,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is reckless, then Bob is big.","If the bald eagle wasn't reckless, Bob would be big.",24.739977342883947,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not reckless, then Fiona is awful.","If the bald eagle was reckless, Fiona would be awful.",27.14346647706349,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is furry, then the mouse is not funny.",The mouse is not funny unless the bald eagle is furry.,46.15415465297943,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not furry, then the dinosaur is fierce.","The dinosaur is fierce, if the bald eagle is furry.",28.37502749013221,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is small, then the mouse is not small.",The bald eagle is not small if the mouse is small.,26.83544415402699,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is small, then the mouse is not small.",The bald eagle is not small if the mouse is small.,26.83544415402699,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not small, then the dog is tired.",The bald eagle is small if the dog isn't tired.,16.1805547365076,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not small, then the dog is tired.",The dog is tired when the bald eagle is small.,27.507948153265307,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is cute, then Bob is not kind.",The bald eagle isn't cute unless Bob is kind.,11.217265776204941,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is cute, then Bob is not kind.","If the bald eagle wasn't cute, Bob wouldn't be kind.",21.305413619585096,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not cute, then the tiger is not smart.","If the Tiger is smart, the bald eagle is cute.",22.847723660167624,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not cute, then the tiger is not smart.","If the bald eagle was cute, the tiger would not be smart.",25.349016762360495,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is lovely, then the bear is quiet.",The bald eagle isn't lovely without the bear quiet.,11.217265776204941,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is lovely, then the bear is quiet.","If the bald eagle wasn't lovely, the bear would have been quiet.",22.894156860669913,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not lovely, then the mouse is dull.",A bald eagle would be lovely without a dull mouse.,7.510002314354895,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is not lovely, then the mouse is dull.","If the bald eagle was a lovely thing, the mouse would be dull.",23.505204106959603,0,Contraposition law,"if,then"
Synthetic,"If the bald eagle is beautiful, then Erin is tired.","If Erin isn't tired, the bald eagle isn't beautiful.",12.874330508144842,1,Contraposition law,"if,then"
Synthetic,"If the bald eagle is beautiful, then Erin is tired.","Erin is tired of being a bald eagle, if not beautiful.",16.26170171519489,0,Contraposition law,"if,then"
